"date_time","uni_meteo"
2022-12-23 20:00:00,14.30294
2022-12-23 21:00:00,14.34113
2022-12-23 22:00:00,14.21872
2022-12-23 23:00:00,13.83464
2022-12-24 00:00:00,13.49239
2022-12-24 01:00:00,13.24609
2022-12-24 02:00:00,13.02444
2022-12-24 03:00:00,12.70962
2022-12-24 04:00:00,12.50778
2022-12-24 05:00:00,12.09171
2022-12-24 06:00:00,11.9218
2022-12-24 07:00:00,11.80606
2022-12-24 08:00:00,11.68577
2022-12-24 09:00:00,11.54986
2022-12-24 10:00:00,11.78221
2022-12-24 11:00:00,12.17323
2022-12-24 12:00:00,12.37302
2022-12-24 13:00:00,13.35639
2022-12-24 14:00:00,12.74663
2022-12-24 15:00:00,12.59131
2022-12-24 16:00:00,12.31998
2022-12-24 17:00:00,11.933
2022-12-24 18:00:00,11.65924
2022-12-24 19:00:00,11.05061
2022-12-24 20:00:00,10.72652
2022-12-24 21:00:00,10.50213
2022-12-24 22:00:00,10.16215
2022-12-24 23:00:00,9.485571
2022-12-25 00:00:00,9.282638
2022-12-25 01:00:00,9.315781
2022-12-25 02:00:00,9.524894
2022-12-25 03:00:00,9.763818
2022-12-25 04:00:00,9.921157
2022-12-25 05:00:00,9.943837
2022-12-25 06:00:00,10.18417
2022-12-25 07:00:00,10.44041
2022-12-25 08:00:00,10.10346
2022-12-25 09:00:00,9.56719
2022-12-25 10:00:00,9.311333
2022-12-25 11:00:00,10.29703
2022-12-25 12:00:00,10.90678
2022-12-25 13:00:00,12.15159
2022-12-25 14:00:00,14.14566
2022-12-25 15:00:00,14.63833
2022-12-25 16:00:00,14.74152
2022-12-25 17:00:00,14.4645
2022-12-25 18:00:00,15.06242
2022-12-25 19:00:00,14.76622
2022-12-25 20:00:00,14.65618
2022-12-25 21:00:00,14.49989
2022-12-25 22:00:00,14.36165
2022-12-25 23:00:00,14.60257
2022-12-26 00:00:00,14.91109
2022-12-26 01:00:00,14.95534
2022-12-26 02:00:00,15.06842
2022-12-26 03:00:00,14.98686
2022-12-26 04:00:00,14.98319
2022-12-26 05:00:00,14.897
2022-12-26 06:00:00,15.11811
2022-12-26 07:00:00,15.04478
2022-12-26 08:00:00,14.90279
2022-12-26 09:00:00,14.56486
2022-12-26 10:00:00,12.75547
2022-12-26 11:00:00,12.23124
2022-12-26 12:00:00,11.58195
2022-12-26 13:00:00,11.17812
2022-12-26 14:00:00,10.77092
2022-12-26 15:00:00,10.7434
2022-12-26 16:00:00,11.18437
2022-12-26 17:00:00,11.46825
2022-12-26 18:00:00,11.57049
2022-12-26 19:00:00,11.77821
2022-12-26 20:00:00,11.33547
2022-12-26 21:00:00,9.521419
2022-12-26 22:00:00,9.545327
2022-12-26 23:00:00,9.449321
2022-12-27 00:00:00,8.849746
2022-12-27 01:00:00,8.163546
2022-12-27 02:00:00,7.334934
2022-12-27 03:00:00,6.259552
2022-12-27 04:00:00,5.093658
2022-12-27 05:00:00,4.822276
2022-12-27 06:00:00,4.785382
2022-12-27 07:00:00,4.470964
2022-12-27 08:00:00,4.100405
2022-12-27 09:00:00,4.010137
2022-12-27 10:00:00,4.12117
2022-12-27 11:00:00,4.642118
2022-12-27 12:00:00,6.061937
2022-12-27 13:00:00,8.863093
2022-12-27 14:00:00,9.724076
2022-12-27 15:00:00,8.839865
2022-12-27 16:00:00,8.565703
2022-12-27 17:00:00,8.003198
2022-12-27 18:00:00,6.697997
2022-12-27 19:00:00,5.428122
2022-12-27 20:00:00,4.474233
2022-12-27 21:00:00,3.785289
2022-12-27 22:00:00,3.21055
2022-12-27 23:00:00,2.887763
2022-12-28 00:00:00,2.878244
2022-12-28 01:00:00,2.788985
2022-12-28 02:00:00,3.221871
2022-12-28 03:00:00,3.76379
2022-12-28 04:00:00,4.752697
2022-12-28 05:00:00,7.528674
2022-12-28 06:00:00,8.918379
2022-12-28 07:00:00,8.724391
2022-12-28 08:00:00,8.425273
2022-12-28 09:00:00,8.534768
2022-12-28 10:00:00,8.67031
2022-12-28 11:00:00,9.583802
2022-12-28 12:00:00,10.43073
2022-12-28 13:00:00,10.80257
2022-12-28 14:00:00,12.09739
2022-12-28 15:00:00,12.40394
2022-12-28 16:00:00,11.35385
2022-12-28 17:00:00,11.3722
2022-12-28 18:00:00,11.94816
2022-12-28 19:00:00,12.14198
2022-12-28 20:00:00,13.45601
2022-12-28 21:00:00,13.94037
2022-12-28 22:00:00,13.4906
2022-12-28 23:00:00,13.68241
2022-12-29 00:00:00,14.08383
2022-12-29 01:00:00,14.31633
2022-12-29 02:00:00,14.31304
2022-12-29 03:00:00,13.75267
2022-12-29 04:00:00,13.18009
2022-12-29 05:00:00,12.98457
2022-12-29 06:00:00,12.99547
2022-12-29 07:00:00,13.7832
2022-12-29 08:00:00,14.28362
2022-12-29 09:00:00,14.49576
2022-12-29 10:00:00,14.18121
2022-12-29 11:00:00,13.72856
2022-12-29 12:00:00,12.89909
2022-12-29 13:00:00,13.18382
2022-12-29 14:00:00,13.47093
